dataSet,theta,crackBound,algo_index,time
202403-capitalbikeshare-tripdata,1400.0,500.0,4,43823
202403-capitalbikeshare-tripdata,1400.0,1000.0,4,42507
202403-capitalbikeshare-tripdata,1400.0,1500.0,4,42424
202403-capitalbikeshare-tripdata,1400.0,2000.0,4,42143
202403-capitalbikeshare-tripdata,1400.0,2500.0,4,41693
202403-capitalbikeshare-tripdata,1400.0,3000.0,4,41371
202403-capitalbikeshare-tripdata,1400.0,3500.0,4,41730
202403-capitalbikeshare-tripdata,1400.0,500.0,5,25811
202403-capitalbikeshare-tripdata,1400.0,1000.0,5,25655
202403-capitalbikeshare-tripdata,1400.0,1500.0,5,25764
202403-capitalbikeshare-tripdata,1400.0,2000.0,5,25506
202403-capitalbikeshare-tripdata,1400.0,2500.0,5,25775
202403-capitalbikeshare-tripdata,1400.0,3000.0,5,25622
202403-capitalbikeshare-tripdata,1400.0,3500.0,5,25944
202403-capitalbikeshare-tripdata,1400.0,500.0,6,31703
202403-capitalbikeshare-tripdata,1400.0,1000.0,6,31750
202403-capitalbikeshare-tripdata,1400.0,1500.0,6,32287
202403-capitalbikeshare-tripdata,1400.0,2000.0,6,35880
202403-capitalbikeshare-tripdata,1400.0,2500.0,6,32836
202403-capitalbikeshare-tripdata,1400.0,3000.0,6,33045
202403-capitalbikeshare-tripdata,1400.0,3500.0,6,32992
202403-capitalbikeshare-tripdata,1400.0,500.0,7,12236
202403-capitalbikeshare-tripdata,1400.0,1000.0,7,12800
202403-capitalbikeshare-tripdata,1400.0,1500.0,7,13105
202403-capitalbikeshare-tripdata,1400.0,2000.0,7,13360
202403-capitalbikeshare-tripdata,1400.0,2500.0,7,13616
202403-capitalbikeshare-tripdata,1400.0,3000.0,7,13809
202403-capitalbikeshare-tripdata,1400.0,3500.0,7,14172
202403-capitalbikeshare-tripdata,1400.0,500.0,8,33716
202403-capitalbikeshare-tripdata,1400.0,1000.0,8,33645
202403-capitalbikeshare-tripdata,1400.0,1500.0,8,34028
202403-capitalbikeshare-tripdata,1400.0,2000.0,8,34351
202403-capitalbikeshare-tripdata,1400.0,2500.0,8,34676
202403-capitalbikeshare-tripdata,1400.0,3000.0,8,34699
202403-capitalbikeshare-tripdata,1400.0,3500.0,8,34816
combined_chicago_taxi_trip,1400.0,500.0,0,190528
combined_chicago_taxi_trip,1400.0,1000.0,0,190238
combined_chicago_taxi_trip,1400.0,1500.0,0,190600
combined_chicago_taxi_trip,1400.0,2000.0,0,190488
combined_chicago_taxi_trip,1400.0,2500.0,0,190321
combined_chicago_taxi_trip,1400.0,3000.0,0,189916
combined_chicago_taxi_trip,1400.0,3500.0,0,190577
combined_chicago_taxi_trip,1400.0,500.0,1,109756
combined_chicago_taxi_trip,1400.0,1000.0,1,109437
combined_chicago_taxi_trip,1400.0,1500.0,1,109619
combined_chicago_taxi_trip,1400.0,2000.0,1,109170
combined_chicago_taxi_trip,1400.0,2500.0,1,108855
combined_chicago_taxi_trip,1400.0,3000.0,1,109572
combined_chicago_taxi_trip,1400.0,3500.0,1,109224
combined_chicago_taxi_trip,1400.0,500.0,2,118022
combined_chicago_taxi_trip,1400.0,1000.0,2,117946
combined_chicago_taxi_trip,1400.0,1500.0,2,119373
combined_chicago_taxi_trip,1400.0,2000.0,2,117914
combined_chicago_taxi_trip,1400.0,2500.0,2,116958
combined_chicago_taxi_trip,1400.0,3000.0,2,117914
combined_chicago_taxi_trip,1400.0,3500.0,2,116926
combined_chicago_taxi_trip,1400.0,500.0,3,144210
combined_chicago_taxi_trip,1400.0,1000.0,3,140644
combined_chicago_taxi_trip,1400.0,1500.0,3,137869
combined_chicago_taxi_trip,1400.0,2000.0,3,136703
combined_chicago_taxi_trip,1400.0,2500.0,3,134348
combined_chicago_taxi_trip,1400.0,3000.0,3,132778
combined_chicago_taxi_trip,1400.0,3500.0,3,132170
combined_chicago_taxi_trip,1400.0,500.0,4,102091
combined_chicago_taxi_trip,1400.0,1000.0,4,100904
combined_chicago_taxi_trip,1400.0,1500.0,4,101266
combined_chicago_taxi_trip,1400.0,2000.0,4,100579
combined_chicago_taxi_trip,1400.0,2500.0,4,100699
combined_chicago_taxi_trip,1400.0,3000.0,4,100390
combined_chicago_taxi_trip,1400.0,3500.0,4,100433
combined_chicago_taxi_trip,1400.0,500.0,5,71316
combined_chicago_taxi_trip,1400.0,1000.0,5,71363
combined_chicago_taxi_trip,1400.0,1500.0,5,71231
combined_chicago_taxi_trip,1400.0,2000.0,5,71625
combined_chicago_taxi_trip,1400.0,2500.0,5,71256
combined_chicago_taxi_trip,1400.0,3000.0,5,70863
combined_chicago_taxi_trip,1400.0,3500.0,5,70865
combined_chicago_taxi_trip,1400.0,500.0,6,117039
combined_chicago_taxi_trip,1400.0,1000.0,6,112852
combined_chicago_taxi_trip,1400.0,1500.0,6,109774
combined_chicago_taxi_trip,1400.0,2000.0,6,107752
combined_chicago_taxi_trip,1400.0,2500.0,6,106051
combined_chicago_taxi_trip,1400.0,3000.0,6,104548
combined_chicago_taxi_trip,1400.0,3500.0,6,102702
combined_chicago_taxi_trip,1400.0,500.0,7,43386
combined_chicago_taxi_trip,1400.0,1000.0,7,41946
combined_chicago_taxi_trip,1400.0,1500.0,7,41518
combined_chicago_taxi_trip,1400.0,2000.0,7,40883
combined_chicago_taxi_trip,1400.0,2500.0,7,40365
combined_chicago_taxi_trip,1400.0,3000.0,7,39955
combined_chicago_taxi_trip,1400.0,3500.0,7,39500
combined_chicago_taxi_trip,1400.0,500.0,8,175951
combined_chicago_taxi_trip,1400.0,1000.0,8,167157
combined_chicago_taxi_trip,1400.0,1500.0,8,160382
combined_chicago_taxi_trip,1400.0,2000.0,8,156689
combined_chicago_taxi_trip,1400.0,2500.0,8,152967
combined_chicago_taxi_trip,1400.0,3000.0,8,147973
combined_chicago_taxi_trip,1400.0,3500.0,8,144412
