dataSetIndex,algo_index,query_nums,time,,,,
1,3,151,124,,,,
1,3,161,120,,,,
1,3,171,250,,,,
1,3,181,208,,,,
1,3,191,242,,,,
1,4,1,244,,,,
1,4,11,224,,,,
1,4,21,218,,,,
1,4,31,217,,,,
1,4,41,230,,,,
1,4,51,224,,,,
1,4,61,225,,,,
1,4,71,220,,,,
1,4,81,231,,,,
1,4,91,234,,,,
1,4,101,221,,,,
1,4,111,218,,,,
1,4,121,226,,,,
1,4,131,224,,,,
1,4,141,231,,,,
1,4,151,218,,,,
1,4,161,230,,,,
1,4,171,225,,,,
1,4,181,221,,,,
1,4,191,225,,,,
1,5,1,198,,,,
1,5,11,177,,,,
1,5,21,109,,,,
1,5,31,103,,,,
1,5,41,175,,,,
1,5,51,176,,,,
1,5,61,180,,,,
1,5,71,68,,,,
1,5,81,202,,,,
1,5,91,191,,,,
1,5,101,173,,,,
1,5,111,55,,,,
1,5,121,169,,,,
1,5,131,152,,,,
1,5,141,190,,,,
1,5,151,48,,,,
1,5,161,45,,,,
1,5,171,125,,,,
1,5,181,93,,,,
1,5,191,158,,,,
1,6,1,457,,,,
1,6,11,192,,,,
1,6,21,222,,,,
1,6,31,206,,,,
1,6,41,164,,,,
1,6,51,174,,,,
1,6,61,172,,,,
1,6,71,181,,,,
1,6,81,167,,,,
1,6,91,181,,,,
1,6,101,172,,,,
1,6,111,212,,,,
1,6,121,172,,,,
1,6,131,159,,,,
1,6,141,163,,,,
1,6,151,142,,,,
1,6,161,169,,,,
1,6,171,155,,,,
1,6,181,118,,,,
1,6,191,178,,,,
1,7,1,423,,,,
1,7,11,207,,,,
1,7,21,8,,,,
1,7,31,27,,,,
1,7,41,102,,,,
1,7,51,62,,,,
1,7,61,97,,,,
1,7,71,20,,,,
1,7,81,49,,,,
1,7,91,118,,,,
1,7,101,96,,,,
1,7,111,5,,,,
1,7,121,81,,,,
1,7,131,77,,,,
1,7,141,103,,,,
1,7,151,13,,,,
1,7,161,4,,,,
1,7,171,97,,,,
1,7,181,73,,,,
1,7,191,115,,,,
1,8,1,622,,,,
1,8,11,218,,,,
1,8,21,28,,,,
1,8,31,43,,,,
1,8,41,252,,,,
1,8,51,221,,,,
1,8,61,260,,,,
1,8,71,47,,,,
1,8,81,263,,,,
1,8,91,239,,,,
1,8,101,268,,,,
1,8,111,26,,,,
1,8,121,233,,,,
1,8,131,211,,,,
1,8,141,249,,,,
1,8,151,41,,,,
1,8,161,26,,,,
1,8,171,201,,,,
1,8,181,166,,,,
1,8,191,217,,,,
2,0,1,1132,,,,
2,0,11,993,,,,
2,0,21,995,,,,
2,0,31,1008,,,,
2,0,41,1012,,,,
2,0,51,983,,,,
2,0,61,988,,,,
2,0,71,989,,,,
2,0,81,992,,,,
2,0,91,1002,,,,
2,0,101,956,,,,
2,0,111,987,,,,
2,0,121,998,,,,
2,0,131,983,,,,
2,0,141,1008,,,,
2,0,151,1005,,,,
2,0,161,1000,,,,
2,0,171,1004,,,,
2,0,181,989,,,,
2,0,191,980,,,,
2,1,1,674,,,,
2,1,11,566,,,,
2,1,21,574,,,,
2,1,31,573,,,,
2,1,41,585,,,,
2,1,51,567,,,,
2,1,61,570,,,,
2,1,71,566,,,,
2,1,81,586,,,,
2,1,91,577,,,,
2,1,101,558,,,,
2,1,111,560,,,,
2,1,121,565,,,,
2,1,131,590,,,,
2,1,141,576,,,,
2,1,151,578,,,,
2,1,161,573,,,,
2,1,171,556,,,,
2,1,181,557,,,,
2,1,191,559,,,,
2,2,1,633,,,,
2,2,11,625,,,,
2,2,21,630,,,,
2,2,31,621,,,,
2,2,41,642,,,,
2,2,51,624,,,,
2,2,61,624,,,,
2,2,71,620,,,,
2,2,81,617,,,,
2,2,91,630,,,,
2,2,101,616,,,,
2,2,111,616,,,,
2,2,121,621,,,,
2,2,131,618,,,,
2,2,141,635,,,,
2,2,151,643,,,,
2,2,161,663,,,,
2,2,171,630,,,,
2,2,181,565,,,,
2,2,191,559,,,,
2,3,1,992,,,,
2,3,11,891,,,,
2,3,21,993,,,,
2,3,31,889,,,,
2,3,41,896,,,,
2,3,51,631,,,,
2,3,61,864,,,,
2,3,71,366,,,,
2,3,81,895,,,,
2,3,91,925,,,,
2,3,101,911,,,,
2,3,111,463,,,,
2,3,121,700,,,,
2,3,131,850,,,,
2,3,141,904,,,,
2,3,151,839,,,,
2,3,161,855,,,,
2,3,171,305,,,,
2,3,181,342,,,,
2,3,191,449,,,,
2,4,1,537,,,,
2,4,11,556,,,,
2,4,21,572,,,,
2,4,31,580,,,,
2,4,41,596,,,,
2,4,51,444,,,,
2,4,61,571,,,,
2,4,71,551,,,,
2,4,81,608,,,,
2,4,91,594,,,,
2,4,101,400,,,,
2,4,111,557,,,,
2,4,121,559,,,,
2,4,131,589,,,,
2,4,141,614,,,,
2,4,151,609,,,,
2,4,161,619,,,,
2,4,171,558,,,,
2,4,181,566,,,,
2,4,191,480,,,,
2,5,1,450,,,,
2,5,11,410,,,,
2,5,21,471,,,,
2,5,31,469,,,,
2,5,41,476,,,,
2,5,51,309,,,,
2,5,61,463,,,,
2,5,71,205,,,,
2,5,81,462,,,,
2,5,91,483,,,,
2,5,101,416,,,,
2,5,111,261,,,,
2,5,121,401,,,,
2,5,131,474,,,,
2,5,141,487,,,,
2,5,151,461,,,,
2,5,161,496,,,,
2,5,171,230,,,,
2,5,181,204,,,,
2,5,191,251,,,,
2,6,1,1034,,,,
2,6,11,729,,,,
2,6,21,886,,,,
2,6,31,656,,,,
2,6,41,542,,,,
2,6,51,293,,,,
2,6,61,829,,,,
2,6,71,587,,,,
2,6,81,667,,,,
2,6,91,502,,,,
2,6,101,331,,,,
2,6,111,783,,,,
2,6,121,770,,,,
2,6,131,785,,,,
2,6,141,476,,,,
2,6,151,653,,,,
2,6,161,445,,,,
2,6,171,582,,,,
2,6,181,583,,,,
2,6,191,239,,,,
2,7,1,1063,,,,
2,7,11,192,,,,
2,7,21,451,,,,
2,7,31,389,,,,
2,7,41,413,,,,
2,7,51,110,,,,
2,7,61,371,,,,
2,7,71,79,,,,
2,7,81,408,,,,
2,7,91,317,,,,
2,7,101,201,,,,
2,7,111,121,,,,
2,7,121,129,,,,
2,7,131,150,,,,
2,7,141,267,,,,
2,7,151,386,,,,
2,7,161,278,,,,
2,7,171,19,,,,
2,7,181,54,,,,
2,7,191,32,,,,
2,8,1,1249,,,,
2,8,11,431,,,,
2,8,21,1217,,,,
2,8,31,1051,,,,
2,8,41,1134,,,,
2,8,51,594,,,,
2,8,61,1126,,,,
2,8,71,343,,,,
2,8,81,1109,,,,
2,8,91,1059,,,,
2,8,101,803,,,,
2,8,111,783,,,,
2,8,121,699,,,,
2,8,131,1091,,,,
2,8,141,1067,,,,
2,8,151,1124,,,,
2,8,161,994,,,,
2,8,171,376,,,,
2,8,181,410,,,,
2,8,191,364,,,,
