dataSet,theta,crackBound,algo_index,lastTime,totalTime,buildTime,queryTime
202402-divvy-tripdata-time,1400.0,500.0,0,16,11776,1241,10535
202402-divvy-tripdata-time,1400.0,1000.0,0,16,11742,1270,10472
202402-divvy-tripdata-time,1400.0,1500.0,0,16,12605,1282,11323
202402-divvy-tripdata-time,1400.0,2000.0,0,16,11753,1357,10396
202402-divvy-tripdata-time,1400.0,2500.0,0,16,11664,1281,10383
202402-divvy-tripdata-time,1400.0,3000.0,0,16,11900,1256,10644
202402-divvy-tripdata-time,1400.0,3500.0,0,16,11515,1244,10271
202402-divvy-tripdata-time,1400.0,500.0,1,16,5991,895,5096
202402-divvy-tripdata-time,1400.0,1000.0,1,16,5874,912,4962
202402-divvy-tripdata-time,1400.0,1500.0,1,16,5965,919,5046
202402-divvy-tripdata-time,1400.0,2000.0,1,16,5856,901,4955
202402-divvy-tripdata-time,1400.0,2500.0,1,16,5878,899,4979
202402-divvy-tripdata-time,1400.0,3000.0,1,16,5959,927,5032
202402-divvy-tripdata-time,1400.0,3500.0,1,16,5898,924,4974
202402-divvy-tripdata-time,1400.0,500.0,2,16,3379,914,2465
202402-divvy-tripdata-time,1400.0,1000.0,2,16,3495,897,2598
202402-divvy-tripdata-time,1400.0,1500.0,2,16,3599,892,2707
202402-divvy-tripdata-time,1400.0,2000.0,2,16,3676,898,2778
202402-divvy-tripdata-time,1400.0,2500.0,2,16,3716,886,2830
202402-divvy-tripdata-time,1400.0,3000.0,2,16,3746,882,2864
202402-divvy-tripdata-time,1400.0,3500.0,2,16,3823,881,2942
202402-divvy-tripdata-time,1400.0,500.0,3,16,11795,1239,10556
202402-divvy-tripdata-time,1400.0,1000.0,3,16,12365,1429,10936
202402-divvy-tripdata-time,1400.0,1500.0,3,16,11788,1313,10475
202402-divvy-tripdata-time,1400.0,2000.0,3,16,11631,1232,10399
202402-divvy-tripdata-time,1400.0,2500.0,3,16,11767,1238,10529
202402-divvy-tripdata-time,1400.0,3000.0,3,16,11734,1235,10499
202402-divvy-tripdata-time,1400.0,3500.0,3,16,11982,1344,10638
202402-divvy-tripdata-time,1400.0,500.0,4,16,10237,980,9257
202402-divvy-tripdata-time,1400.0,1000.0,4,16,10675,999,9676
202402-divvy-tripdata-time,1400.0,1500.0,4,16,9954,1008,8946
202402-divvy-tripdata-time,1400.0,2000.0,4,16,9884,1006,8878
202402-divvy-tripdata-time,1400.0,2500.0,4,16,9686,998,8688
202402-divvy-tripdata-time,1400.0,3000.0,4,16,9906,995,8911
202402-divvy-tripdata-time,1400.0,3500.0,4,16,10056,1049,9007
202402-divvy-tripdata-time,1400.0,500.0,5,16,6080,1275,4805
202402-divvy-tripdata-time,1400.0,1000.0,5,16,6171,1244,4927
202402-divvy-tripdata-time,1400.0,1500.0,5,16,6353,1236,5117
202402-divvy-tripdata-time,1400.0,2000.0,5,16,6514,1283,5231
202402-divvy-tripdata-time,1400.0,2500.0,5,16,6528,1210,5318
202402-divvy-tripdata-time,1400.0,3000.0,5,16,6626,1211,5415
202402-divvy-tripdata-time,1400.0,3500.0,5,16,6657,1179,5478
202402-divvy-tripdata-time,1400.0,500.0,6,16,19750,2081,17669
202402-divvy-tripdata-time,1400.0,1000.0,6,16,19666,2076,17590
202402-divvy-tripdata-time,1400.0,1500.0,6,16,19756,2094,17662
202402-divvy-tripdata-time,1400.0,2000.0,6,16,19772,2103,17669
202402-divvy-tripdata-time,1400.0,2500.0,6,16,19767,2152,17615
202402-divvy-tripdata-time,1400.0,3000.0,6,16,19766,2093,17673
202402-divvy-tripdata-time,1400.0,3500.0,6,16,19720,2102,17618
202402-divvy-tripdata-time,1400.0,500.0,7,16,8507,1670,6837
202402-divvy-tripdata-time,1400.0,1000.0,7,16,8375,1576,6799
202402-divvy-tripdata-time,1400.0,1500.0,7,16,8437,1546,6891
202402-divvy-tripdata-time,1400.0,2000.0,7,16,8501,1523,6978
202402-divvy-tripdata-time,1400.0,2500.0,7,16,8456,1501,6955
202402-divvy-tripdata-time,1400.0,3000.0,7,16,8482,1488,6994
202402-divvy-tripdata-time,1400.0,3500.0,7,16,8624,1478,7146
202402-divvy-tripdata-time,1400.0,500.0,8,16,5542,1253,4289
202402-divvy-tripdata-time,1400.0,1000.0,8,16,5606,1210,4396
202402-divvy-tripdata-time,1400.0,1500.0,8,16,5743,1166,4577
202402-divvy-tripdata-time,1400.0,2000.0,8,16,5815,1164,4651
202402-divvy-tripdata-time,1400.0,2500.0,8,16,6005,1138,4867
202402-divvy-tripdata-time,1400.0,3000.0,8,16,6026,1150,4876
202402-divvy-tripdata-time,1400.0,3500.0,8,16,5981,1093,4888
