dataSet,theta,crackBound,algo_index,lastTime,totalTime,buildTime,queryTime
202402-divvy-tripdata-time,2000.0,2000.0,0,4,11702,1235,10467
202402-divvy-tripdata-time,2000.0,2000.0,0,8,11842,1282,10560
202402-divvy-tripdata-time,2000.0,2000.0,0,12,11735,1241,10494
202402-divvy-tripdata-time,2000.0,2000.0,0,16,11825,1265,10560
202402-divvy-tripdata-time,2000.0,2000.0,0,20,11878,1314,10564
202402-divvy-tripdata-time,2000.0,2000.0,0,24,11899,1377,10522
202402-divvy-tripdata-time,2000.0,2000.0,0,28,11777,1242,10535
202402-divvy-tripdata-time,2000.0,2000.0,1,4,5809,920,4889
202402-divvy-tripdata-time,2000.0,2000.0,1,8,5770,905,4865
202402-divvy-tripdata-time,2000.0,2000.0,1,12,5833,912,4921
202402-divvy-tripdata-time,2000.0,2000.0,1,16,5850,913,4937
202402-divvy-tripdata-time,2000.0,2000.0,1,20,6079,921,5158
202402-divvy-tripdata-time,2000.0,2000.0,1,24,5780,901,4879
202402-divvy-tripdata-time,2000.0,2000.0,1,28,5740,907,4833
202402-divvy-tripdata-time,2000.0,2000.0,2,4,4307,948,3359
202402-divvy-tripdata-time,2000.0,2000.0,2,8,4330,946,3384
202402-divvy-tripdata-time,2000.0,2000.0,2,12,4735,1145,3590
202402-divvy-tripdata-time,2000.0,2000.0,2,16,4464,1001,3463
202402-divvy-tripdata-time,2000.0,2000.0,2,20,4518,995,3523
202402-divvy-tripdata-time,2000.0,2000.0,2,24,4397,949,3448
202402-divvy-tripdata-time,2000.0,2000.0,2,28,4391,971,3420
202402-divvy-tripdata-time,2000.0,2000.0,3,4,11983,1265,10718
202402-divvy-tripdata-time,2000.0,2000.0,3,8,12058,1246,10812
202402-divvy-tripdata-time,2000.0,2000.0,3,12,11742,1244,10498
202402-divvy-tripdata-time,2000.0,2000.0,3,16,11937,1261,10676
202402-divvy-tripdata-time,2000.0,2000.0,3,20,11895,1294,10601
202402-divvy-tripdata-time,2000.0,2000.0,3,24,11816,1299,10517
202402-divvy-tripdata-time,2000.0,2000.0,3,28,11607,1233,10374
202402-divvy-tripdata-time,2000.0,2000.0,4,4,9838,981,8857
202402-divvy-tripdata-time,2000.0,2000.0,4,8,9785,970,8815
202402-divvy-tripdata-time,2000.0,2000.0,4,12,9746,971,8775
202402-divvy-tripdata-time,2000.0,2000.0,4,16,9861,1054,8807
202402-divvy-tripdata-time,2000.0,2000.0,4,20,9709,969,8740
202402-divvy-tripdata-time,2000.0,2000.0,4,24,9965,988,8977
202402-divvy-tripdata-time,2000.0,2000.0,4,28,10400,1002,9398
202402-divvy-tripdata-time,2000.0,2000.0,5,4,7151,1310,5841
202402-divvy-tripdata-time,2000.0,2000.0,5,8,7050,1273,5777
202402-divvy-tripdata-time,2000.0,2000.0,5,12,7170,1293,5877
202402-divvy-tripdata-time,2000.0,2000.0,5,16,6747,1245,5502
202402-divvy-tripdata-time,2000.0,2000.0,5,20,7067,1241,5826
202402-divvy-tripdata-time,2000.0,2000.0,5,24,6817,1243,5574
202402-divvy-tripdata-time,2000.0,2000.0,5,28,6751,1232,5519
202402-divvy-tripdata-time,2000.0,2000.0,6,4,19799,2090,17709
202402-divvy-tripdata-time,2000.0,2000.0,6,8,20100,2109,17991
202402-divvy-tripdata-time,2000.0,2000.0,6,12,20376,2116,18260
202402-divvy-tripdata-time,2000.0,2000.0,6,16,20015,2134,17881
202402-divvy-tripdata-time,2000.0,2000.0,6,20,19793,2094,17699
202402-divvy-tripdata-time,2000.0,2000.0,6,24,20342,2116,18226
202402-divvy-tripdata-time,2000.0,2000.0,6,28,20182,2120,18062
202402-divvy-tripdata-time,2000.0,2000.0,7,4,7700,1463,6237
202402-divvy-tripdata-time,2000.0,2000.0,7,8,7923,1423,6500
202402-divvy-tripdata-time,2000.0,2000.0,7,12,7817,1452,6365
202402-divvy-tripdata-time,2000.0,2000.0,7,16,8266,1736,6530
202402-divvy-tripdata-time,2000.0,2000.0,7,20,7880,1445,6435
202402-divvy-tripdata-time,2000.0,2000.0,7,24,7905,1453,6452
202402-divvy-tripdata-time,2000.0,2000.0,7,28,7964,1445,6519
202402-divvy-tripdata-time,2000.0,2000.0,8,4,6238,1207,5031
202402-divvy-tripdata-time,2000.0,2000.0,8,8,6151,1207,4944
202402-divvy-tripdata-time,2000.0,2000.0,8,12,6264,1213,5051
202402-divvy-tripdata-time,2000.0,2000.0,8,16,6319,1227,5092
202402-divvy-tripdata-time,2000.0,2000.0,8,20,6347,1225,5122
202402-divvy-tripdata-time,2000.0,2000.0,8,24,6460,1284,5176
202402-divvy-tripdata-time,2000.0,2000.0,8,28,6426,1260,5166
