dataSet,theta,crackBound,algo_index,lastTime,totalTime,buildTime,queryTime
202402-divvy-tripdata-time,800.0,2000.0,0,16,11531,1237,10294
202402-divvy-tripdata-time,1000.0,2000.0,0,16,11708,1244,10464
202402-divvy-tripdata-time,1200.0,2000.0,0,16,11655,1231,10424
202402-divvy-tripdata-time,1400.0,2000.0,0,16,11714,1261,10453
202402-divvy-tripdata-time,1600.0,2000.0,0,16,11612,1247,10365
202402-divvy-tripdata-time,1800.0,2000.0,0,16,11714,1230,10484
202402-divvy-tripdata-time,2000.0,2000.0,0,16,11740,1252,10488
202402-divvy-tripdata-time,800.0,2000.0,1,16,7039,893,6146
202402-divvy-tripdata-time,1000.0,2000.0,1,16,6464,904,5560
202402-divvy-tripdata-time,1200.0,2000.0,1,16,6181,908,5273
202402-divvy-tripdata-time,1400.0,2000.0,1,16,5916,915,5001
202402-divvy-tripdata-time,1600.0,2000.0,1,16,5820,914,4906
202402-divvy-tripdata-time,1800.0,2000.0,1,16,5875,921,4954
202402-divvy-tripdata-time,2000.0,2000.0,1,16,5768,918,4850
202402-divvy-tripdata-time,800.0,2000.0,2,16,2949,800,2149
202402-divvy-tripdata-time,1000.0,2000.0,2,16,3168,842,2326
202402-divvy-tripdata-time,1200.0,2000.0,2,16,3659,852,2807
202402-divvy-tripdata-time,1400.0,2000.0,2,16,6029,1743,4286
202402-divvy-tripdata-time,1600.0,2000.0,2,16,4757,1333,3424
202402-divvy-tripdata-time,1800.0,2000.0,2,16,4479,999,3480
202402-divvy-tripdata-time,2000.0,2000.0,2,16,4928,1136,3792
202402-divvy-tripdata-time,800.0,2000.0,3,16,11884,1252,10632
202402-divvy-tripdata-time,1000.0,2000.0,3,16,11870,1319,10551
202402-divvy-tripdata-time,1200.0,2000.0,3,16,11857,1273,10584
202402-divvy-tripdata-time,1400.0,2000.0,3,16,12261,1243,11018
202402-divvy-tripdata-time,1600.0,2000.0,3,16,11992,1267,10725
202402-divvy-tripdata-time,1800.0,2000.0,3,16,12142,1310,10832
202402-divvy-tripdata-time,2000.0,2000.0,3,16,11971,1283,10688
202402-divvy-tripdata-time,800.0,2000.0,4,16,9777,1000,8777
202402-divvy-tripdata-time,1000.0,2000.0,4,16,9810,1016,8794
202402-divvy-tripdata-time,1200.0,2000.0,4,16,9776,998,8778
202402-divvy-tripdata-time,1400.0,2000.0,4,16,9878,1002,8876
202402-divvy-tripdata-time,1600.0,2000.0,4,16,9840,1013,8827
202402-divvy-tripdata-time,1800.0,2000.0,4,16,9645,969,8676
202402-divvy-tripdata-time,2000.0,2000.0,4,16,9782,978,8804
202402-divvy-tripdata-time,800.0,2000.0,5,16,6175,1181,4994
202402-divvy-tripdata-time,1000.0,2000.0,5,16,6446,1226,5220
202402-divvy-tripdata-time,1200.0,2000.0,5,16,6553,1225,5328
202402-divvy-tripdata-time,1400.0,2000.0,5,16,6549,1244,5305
202402-divvy-tripdata-time,1600.0,2000.0,5,16,6821,1320,5501
202402-divvy-tripdata-time,1800.0,2000.0,5,16,6811,1265,5546
202402-divvy-tripdata-time,2000.0,2000.0,5,16,6804,1256,5548
202402-divvy-tripdata-time,800.0,2000.0,6,16,19857,2089,17768
202402-divvy-tripdata-time,1000.0,2000.0,6,16,19876,2105,17771
202402-divvy-tripdata-time,1200.0,2000.0,6,16,19994,2134,17860
202402-divvy-tripdata-time,1400.0,2000.0,6,16,20460,2103,18357
202402-divvy-tripdata-time,1600.0,2000.0,6,16,21473,2157,19316
202402-divvy-tripdata-time,1800.0,2000.0,6,16,20169,2138,18031
202402-divvy-tripdata-time,2000.0,2000.0,6,16,20622,2175,18447
202402-divvy-tripdata-time,800.0,2000.0,7,16,10859,1673,9186
202402-divvy-tripdata-time,1000.0,2000.0,7,16,9619,1609,8010
202402-divvy-tripdata-time,1200.0,2000.0,7,16,9141,1635,7506
202402-divvy-tripdata-time,1400.0,2000.0,7,16,8612,1525,7087
202402-divvy-tripdata-time,1600.0,2000.0,7,16,8271,1488,6783
202402-divvy-tripdata-time,1800.0,2000.0,7,16,7939,1463,6476
202402-divvy-tripdata-time,2000.0,2000.0,7,16,7725,1419,6306
202402-divvy-tripdata-time,800.0,2000.0,8,16,5042,1071,3971
202402-divvy-tripdata-time,1000.0,2000.0,8,16,5287,1098,4189
202402-divvy-tripdata-time,1200.0,2000.0,8,16,5460,1125,4335
202402-divvy-tripdata-time,1400.0,2000.0,8,16,5768,1156,4612
202402-divvy-tripdata-time,1600.0,2000.0,8,16,6027,1188,4839
202402-divvy-tripdata-time,1800.0,2000.0,8,16,6372,1222,5150
202402-divvy-tripdata-time,2000.0,2000.0,8,16,6356,1236,5120
