dataSetIndex,algo_index,query_nums,single_time,accumulated_time
1,0,1,290,290
1,0,2,292,582
1,0,3,285,867
1,0,4,303,1170
1,0,5,285,1455
1,0,6,279,1734
1,0,7,277,2011
1,0,8,277,2288
1,0,9,281,2569
1,0,10,282,2851
1,0,11,279,3130
1,0,12,287,3417
1,0,13,279,3696
1,0,14,275,3971
1,0,15,278,4249
1,0,16,280,4529
1,0,17,277,4806
1,0,18,286,5092
1,0,19,277,5369
1,0,20,279,5648
1,0,21,279,5927
1,0,22,277,6204
1,0,23,277,6481
1,0,24,276,6757
1,0,25,275,7032
1,0,26,276,7308
1,0,27,277,7585
1,0,28,282,7867
1,0,29,277,8144
1,0,30,275,8419
1,0,31,276,8695
1,0,32,288,8983
1,0,33,277,9260
1,0,34,277,9537
1,0,35,279,9816
1,0,36,280,10096
1,0,37,279,10375
1,0,38,278,10653
1,0,39,276,10929
1,0,40,278,11207
1,0,41,277,11484
1,0,42,280,11764
1,0,43,278,12042
1,0,44,279,12321
1,0,45,276,12597
1,0,46,275,12872
1,0,47,276,13148
1,0,48,277,13425
1,0,49,274,13699
1,0,50,275,13974
1,0,51,277,14251
1,0,52,274,14525
1,0,53,274,14799
1,0,54,275,15074
1,0,55,274,15348
1,0,56,274,15622
1,0,57,275,15897
1,0,58,275,16172
1,0,59,275,16447
1,0,60,284,16731
1,0,61,279,17010
1,0,62,276,17286
1,0,63,277,17563
1,0,64,275,17838
1,0,65,275,18113
1,0,66,275,18388
1,0,67,274,18662
1,0,68,275,18937
1,0,69,276,19213
1,0,70,275,19488
1,0,71,275,19763
1,0,72,275,20038
1,0,73,274,20312
1,0,74,277,20589
1,0,75,277,20866
1,0,76,276,21142
1,0,77,277,21419
1,0,78,289,21708
1,0,79,280,21988
1,0,80,281,22269
1,0,81,280,22549
1,0,82,293,22842
1,0,83,285,23127
1,0,84,289,23416
1,0,85,292,23708
1,0,86,295,24003
1,0,87,288,24291
1,0,88,290,24581
1,0,89,294,24875
1,0,90,292,25167
1,0,91,287,25454
1,0,92,288,25742
1,0,93,291,26033
1,0,94,293,26326
1,0,95,304,26630
1,0,96,302,26932
1,0,97,284,27216
1,0,98,288,27504
1,0,99,276,27780
1,0,100,276,28056
1,0,101,276,28332
1,0,102,276,28608
1,0,103,275,28883
1,0,104,298,29181
1,0,105,285,29466
1,0,106,289,29755
1,0,107,293,30048
1,0,108,298,30346
1,0,109,284,30630
1,0,110,286,30916
1,0,111,279,31195
1,0,112,284,31479
1,0,113,274,31753
1,0,114,274,32027
1,0,115,273,32300
1,0,116,273,32573
1,0,117,274,32847
1,0,118,284,33131
1,0,119,278,33409
1,0,120,284,33693
1,0,121,275,33968
1,0,122,276,34244
1,0,123,280,34524
1,0,124,274,34798
1,0,125,277,35075
1,0,126,280,35355
1,0,127,278,35633
1,0,128,279,35912
1,0,129,276,36188
1,0,130,277,36465
1,0,131,275,36740
1,0,132,278,37018
1,0,133,281,37299
1,0,134,277,37576
1,0,135,275,37851
1,0,136,278,38129
1,0,137,276,38405
1,0,138,276,38681
1,0,139,274,38955
1,0,140,275,39230
1,0,141,277,39507
1,0,142,277,39784
1,0,143,276,40060
1,0,144,278,40338
1,0,145,279,40617
1,0,146,274,40891
1,0,147,278,41169
1,0,148,274,41443
1,0,149,274,41717
1,0,150,275,41992
1,0,151,286,42278
1,0,152,278,42556
1,0,153,278,42834
1,0,154,278,43112
1,0,155,276,43388
1,0,156,279,43667
1,0,157,276,43943
1,0,158,278,44221
1,0,159,275,44496
1,0,160,278,44774
1,0,161,279,45053
1,0,162,280,45333
1,0,163,286,45619
1,0,164,280,45899
1,0,165,280,46179
1,0,166,279,46458
1,0,167,286,46744
1,0,168,282,47026
1,0,169,290,47316
1,0,170,280,47596
1,0,171,276,47872
1,0,172,277,48149
1,0,173,283,48432
1,0,174,275,48707
1,0,175,279,48986
1,0,176,281,49267
1,0,177,283,49550
1,0,178,280,49830
1,0,179,289,50119
1,0,180,280,50399
1,0,181,280,50679
1,0,182,276,50955
1,0,183,285,51240
1,0,184,279,51519
1,0,185,280,51799
1,0,186,280,52079
1,0,187,276,52355
1,0,188,277,52632
1,0,189,279,52911
1,0,190,295,53206
1,0,191,287,53493
1,0,192,277,53770
1,0,193,283,54053
1,0,194,277,54330
1,0,195,278,54608
1,0,196,280,54888
1,0,197,277,55165
1,0,198,276,55441
1,0,199,278,55719
1,0,200,283,56002
1,1,1,209,209
1,1,2,197,406
1,1,3,188,594
1,1,4,195,789
1,1,5,198,987
1,1,6,200,1187
1,1,7,177,1364
1,1,8,203,1567
1,1,9,209,1776
1,1,10,138,1914
1,1,11,202,2116
1,1,12,201,2317
1,1,13,202,2519
1,1,14,204,2723
1,1,15,122,2845
1,1,16,173,3018
1,1,17,161,3179
1,1,18,206,3385
1,1,19,150,3535
1,1,20,197,3732
1,1,21,187,3919
1,1,22,195,4114
1,1,23,197,4311
1,1,24,128,4439
1,1,25,110,4549
1,1,26,107,4656
1,1,27,168,4824
1,1,28,206,5030
1,1,29,153,5183
1,1,30,190,5373
1,1,31,198,5571
1,1,32,107,5678
1,1,33,106,5784
1,1,34,107,5891
1,1,35,186,6077
1,1,36,102,6179
1,1,37,202,6381
1,1,38,194,6575
1,1,39,197,6772
1,1,40,177,6949
1,1,41,93,7042
1,1,42,162,7204
1,1,43,150,7354
1,1,44,208,7562
1,1,45,218,7780
1,1,46,183,7963
1,1,47,154,8117
1,1,48,166,8283
1,1,49,87,8370
1,1,50,193,8563
1,1,51,181,8744
1,1,52,83,8827
1,1,53,164,8991
1,1,54,136,9127
1,1,55,81,9208
1,1,56,183,9391
1,1,57,191,9582
1,1,58,215,9797
1,1,59,78,9875
1,1,60,81,9956
1,1,61,169,10125
1,1,62,147,10272
1,1,63,201,10473
1,1,64,185,10658
1,1,65,115,10773
1,1,66,186,10959
1,1,67,196,11155
1,1,68,76,11231
1,1,69,149,11380
1,1,70,75,11455
1,1,71,76,11531
1,1,72,105,11636
1,1,73,69,11705
1,1,74,69,11774
1,1,75,71,11845
1,1,76,71,11916
1,1,77,73,11989
1,1,78,182,12171
1,1,79,72,12243
1,1,80,196,12439
1,1,81,153,12592
1,1,82,160,12752
1,1,83,66,12818
1,1,84,162,12980
1,1,85,188,13168
1,1,86,205,13373
1,1,87,204,13577
1,1,88,205,13782
1,1,89,190,13972
1,1,90,185,14157
1,1,91,186,14343
1,1,92,204,14547
1,1,93,221,14768
1,1,94,212,14980
1,1,95,212,15192
1,1,96,193,15385
1,1,97,174,15559
1,1,98,184,15743
1,1,99,177,15920
1,1,100,200,16120
1,1,101,200,16320
1,1,102,204,16524
1,1,103,129,16653
1,1,104,186,16839
1,1,105,179,17018
1,1,106,186,17204
1,1,107,177,17381
1,1,108,186,17567
1,1,109,166,17733
1,1,110,165,17898
1,1,111,197,18095
1,1,112,201,18296
1,1,113,214,18510
1,1,114,61,18571
1,1,115,63,18634
1,1,116,57,18691
1,1,117,58,18749
1,1,118,189,18938
1,1,119,162,19100
1,1,120,199,19299
1,1,121,102,19401
1,1,122,197,19598
1,1,123,183,19781
1,1,124,218,19999
1,1,125,205,20204
1,1,126,185,20389
1,1,127,97,20486
1,1,128,183,20669
1,1,129,173,20842
1,1,130,182,21024
1,1,131,172,21196
1,1,132,109,21305
1,1,133,183,21488
1,1,134,191,21679
1,1,135,192,21871
1,1,136,157,22028
1,1,137,128,22156
1,1,138,129,22285
1,1,139,169,22454
1,1,140,50,22504
1,1,141,174,22678
1,1,142,94,22772
1,1,143,187,22959
1,1,144,171,23130
1,1,145,175,23305
1,1,146,197,23502
1,1,147,96,23598
1,1,148,211,23809
1,1,149,49,23858
1,1,150,49,23907
1,1,151,78,23985
1,1,152,111,24096
1,1,153,93,24189
1,1,154,93,24282
1,1,155,67,24349
1,1,156,50,24399
1,1,157,47,24446
1,1,158,49,24495
1,1,159,49,24544
1,1,160,50,24594
1,1,161,49,24643
1,1,162,49,24692
1,1,163,50,24742
1,1,164,54,24796
1,1,165,188,24984
1,1,166,47,25031
1,1,167,64,25095
1,1,168,148,25243
1,1,169,197,25440
1,1,170,63,25503
1,1,171,92,25595
1,1,172,115,25710
1,1,173,83,25793
1,1,174,88,25881
1,1,175,44,25925
1,1,176,132,26057
1,1,177,172,26229
1,1,178,118,26347
1,1,179,72,26419
1,1,180,181,26600
1,1,181,99,26699
1,1,182,161,26860
1,1,183,150,27010
1,1,184,73,27083
1,1,185,93,27176
1,1,186,95,27271
1,1,187,96,27367
1,1,188,172,27539
1,1,189,159,27698
1,1,190,44,27742
1,1,191,186,27928
1,1,192,186,28114
1,1,193,186,28300
1,1,194,153,28453
1,1,195,204,28657
1,1,196,166,28823
1,1,197,194,29017
1,1,198,110,29127
1,1,199,168,29295
1,1,200,42,29337
1,2,1,549,549
1,2,2,491,1040
1,2,3,270,1310
1,2,4,252,1562
1,2,5,516,2078
1,2,6,301,2379
1,2,7,440,2819
1,2,8,222,3041
1,2,9,304,3345
1,2,10,89,3434
1,2,11,375,3809
1,2,12,197,4006
1,2,13,141,4147
1,2,14,166,4313
1,2,15,40,4353
1,2,16,218,4571
1,2,17,177,4748
1,2,18,87,4835
1,2,19,118,4953
1,2,20,104,5057
1,2,21,154,5211
1,2,22,71,5282
1,2,23,282,5564
1,2,24,45,5609
1,2,25,18,5627
1,2,26,20,5647
1,2,27,145,5792
1,2,28,160,5952
1,2,29,28,5980
1,2,30,93,6073
1,2,31,35,6108
1,2,32,24,6132
1,2,33,19,6151
1,2,34,10,6161
1,2,35,125,6286
1,2,36,29,6315
1,2,37,138,6453
1,2,38,145,6598
1,2,39,130,6728
1,2,40,134,6862
1,2,41,3,6865
1,2,42,104,6969
1,2,43,72,7041
1,2,44,131,7172
1,2,45,105,7277
1,2,46,96,7373
1,2,47,69,7442
1,2,48,87,7529
1,2,49,15,7544
1,2,50,81,7625
1,2,51,89,7714
1,2,52,16,7730
1,2,53,118,7848
1,2,54,77,7925
1,2,55,8,7933
1,2,56,102,8035
1,2,57,89,8124
1,2,58,134,8258
1,2,59,13,8271
1,2,60,9,8280
1,2,61,119,8399
1,2,62,48,8447
1,2,63,94,8541
1,2,64,96,8637
1,2,65,61,8698
1,2,66,107,8805
1,2,67,132,8937
1,2,68,5,8942
1,2,69,92,9034
1,2,70,28,9062
1,2,71,29,9091
1,2,72,77,9168
1,2,73,6,9174
1,2,74,4,9178
1,2,75,29,9207
1,2,76,27,9234
1,2,77,25,9259
1,2,78,118,9377
1,2,79,42,9419
1,2,80,79,9498
1,2,81,156,9654
1,2,82,112,9766
1,2,83,1,9767
1,2,84,160,9927
1,2,85,96,10023
1,2,86,95,10118
1,2,87,96,10214
1,2,88,95,10309
1,2,89,102,10411
1,2,90,121,10532
1,2,91,121,10653
1,2,92,98,10751
1,2,93,144,10895
1,2,94,130,11025
1,2,95,132,11157
1,2,96,101,11258
1,2,97,120,11378
1,2,98,104,11482
1,2,99,163,11645
1,2,100,96,11741
1,2,101,139,11880
1,2,102,107,11987
1,2,103,55,12042
1,2,104,118,12160
1,2,105,99,12259
1,2,106,98,12357
1,2,107,98,12455
1,2,108,103,12558
1,2,109,108,12666
1,2,110,102,12768
1,2,111,106,12874
1,2,112,99,12973
1,2,113,127,13100
1,2,114,12,13112
1,2,115,10,13122
1,2,116,6,13128
1,2,117,3,13131
1,2,118,96,13227
1,2,119,99,13326
1,2,120,127,13453
1,2,121,64,13517
1,2,122,103,13620
1,2,123,99,13719
1,2,124,138,13857
1,2,125,101,13958
1,2,126,122,14080
1,2,127,83,14163
1,2,128,88,14251
1,2,129,107,14358
1,2,130,106,14464
1,2,131,99,14563
1,2,132,90,14653
1,2,133,61,14714
1,2,134,104,14818
1,2,135,103,14921
1,2,136,91,15012
1,2,137,100,15112
1,2,138,99,15211
1,2,139,120,15331
1,2,140,2,15333
1,2,141,98,15431
1,2,142,83,15514
1,2,143,111,15625
1,2,144,97,15722
1,2,145,105,15827
1,2,146,100,15927
1,2,147,89,16016
1,2,148,130,16146
1,2,149,6,16152
1,2,150,3,16155
1,2,151,54,16209
1,2,152,88,16297
1,2,153,59,16356
1,2,154,59,16415
1,2,155,43,16458
1,2,156,15,16473
1,2,157,7,16480
1,2,158,15,16495
1,2,159,15,16510
1,2,160,15,16525
1,2,161,10,16535
1,2,162,15,16550
1,2,163,8,16558
1,2,164,21,16579
1,2,165,120,16699
1,2,166,6,16705
1,2,167,25,16730
1,2,168,105,16835
1,2,169,102,16937
1,2,170,34,16971
1,2,171,76,17047
1,2,172,84,17131
1,2,173,33,17164
1,2,174,71,17235
1,2,175,7,17242
1,2,176,108,17350
1,2,177,88,17438
1,2,178,75,17513
1,2,179,61,17574
1,2,180,117,17691
1,2,181,51,17742
1,2,182,110,17852
1,2,183,124,17976
1,2,184,37,18013
1,2,185,87,18100
1,2,186,86,18186
1,2,187,87,18273
1,2,188,96,18369
1,2,189,97,18466
1,2,190,8,18474
1,2,191,121,18595
1,2,192,127,18722
1,2,193,121,18843
1,2,194,103,18946
1,2,195,99,19045
1,2,196,117,19162
1,2,197,128,19290
1,2,198,94,19384
1,2,199,102,19486
1,2,200,4,19490
1,3,1,290,290
1,3,2,279,569
1,3,3,274,843
1,3,4,278,1121
1,3,5,279,1400
1,3,6,278,1678
1,3,7,277,1955
1,3,8,275,2230
1,3,9,273,2503
1,3,10,277,2780
1,3,11,275,3055
1,3,12,276,3331
1,3,13,273,3604
1,3,14,277,3881
1,3,15,275,4156
1,3,16,279,4435
1,3,17,287,4722
1,3,18,299,5021
1,3,19,275,5296
1,3,20,288,5584
1,3,21,278,5862
1,3,22,274,6136
1,3,23,282,6418
1,3,24,277,6695
1,3,25,281,6976
1,3,26,276,7252
1,3,27,275,7527
1,3,28,273,7800
1,3,29,272,8072
1,3,30,275,8347
1,3,31,275,8622
1,3,32,283,8905
1,3,33,283,9188
1,3,34,271,9459
1,3,35,272,9731
1,3,36,279,10010
1,3,37,278,10288
1,3,38,273,10561
1,3,39,278,10839
1,3,40,277,11116
1,3,41,271,11387
1,3,42,276,11663
1,3,43,279,11942
1,3,44,275,12217
1,3,45,277,12494
1,3,46,284,12778
1,3,47,280,13058
1,3,48,279,13337
1,3,49,275,13612
1,3,50,280,13892
1,3,51,274,14166
1,3,52,273,14439
1,3,53,274,14713
1,3,54,275,14988
1,3,55,272,15260
1,3,56,281,15541
1,3,57,274,15815
1,3,58,275,16090
1,3,59,274,16364
1,3,60,274,16638
1,3,61,277,16915
1,3,62,273,17188
1,3,63,273,17461
1,3,64,276,17737
1,3,65,273,18010
1,3,66,275,18285
1,3,67,274,18559
1,3,68,272,18831
1,3,69,273,19104
1,3,70,274,19378
1,3,71,272,19650
1,3,72,273,19923
1,3,73,272,20195
1,3,74,273,20468
1,3,75,273,20741
1,3,76,275,21016
1,3,77,273,21289
1,3,78,275,21564
1,3,79,272,21836
1,3,80,275,22111
1,3,81,273,22384
1,3,82,273,22657
1,3,83,273,22930
1,3,84,276,23206
1,3,85,282,23488
1,3,86,279,23767
1,3,87,274,24041
1,3,88,280,24321
1,3,89,274,24595
1,3,90,274,24869
1,3,91,278,25147
1,3,92,277,25424
1,3,93,273,25697
1,3,94,274,25971
1,3,95,273,26244
1,3,96,275,26519
1,3,97,280,26799
1,3,98,275,27074
1,3,99,277,27351
1,3,100,286,27637
1,3,101,280,27917
1,3,102,277,28194
1,3,103,275,28469
1,3,104,279,28748
1,3,105,280,29028
1,3,106,277,29305
1,3,107,290,29595
1,3,108,279,29874
1,3,109,275,30149
1,3,110,276,30425
1,3,111,296,30721
1,3,112,278,30999
1,3,113,278,31277
1,3,114,274,31551
1,3,115,297,31848
1,3,116,275,32123
1,3,117,281,32404
1,3,118,279,32683
1,3,119,283,32966
1,3,120,277,33243
1,3,121,278,33521
1,3,122,273,33794
1,3,123,276,34070
1,3,124,281,34351
1,3,125,278,34629
1,3,126,280,34909
1,3,127,276,35185
1,3,128,280,35465
1,3,129,278,35743
1,3,130,280,36023
1,3,131,278,36301
1,3,132,281,36582
1,3,133,277,36859
1,3,134,282,37141
1,3,135,273,37414
1,3,136,273,37687
1,3,137,277,37964
1,3,138,291,38255
